FromID,ToID,Raw_MW,Price
CHEM-000001,CHEM-000082,28.05,1.265
CHEM-000001,CHEM-000083,35.43,0.05
CHEM-000002,CHEM-000084,98.96,0.25
CHEM-000002,CHEM-000085,17.03,0.59
CHEM-000003,CHEM-000084,98.96,0.25
CHEM-000003,CHEM-000085,17.03,0.59
CHEM-000004,CHEM-000053,44.05,0.954
CHEM-000004,CHEM-000085,17.03,0.59
CHEM-000005,CHEM-000053,44.05,0.954
CHEM-000005,CHEM-000085,17.03,0.59
CHEM-000006,CHEM-000086,60.1,1.62
CHEM-000006,CHEM-000053,44.05,0.954
CHEM-000007,CHEM-000087,261.97,1.59
CHEM-000007,CHEM-000088,98.07,0.04
CHEM-000008,CHEM-000089,63.55,8.912
CHEM-000008,CHEM-000090,63.01,0.3
CHEM-000009,CHEM-000064,58.02,0.745
CHEM-000010,CHEM-000009,138.21,1.58
CHEM-000010,CHEM-000091,27.02,0
CHEM-000011,CHEM-000010,165.23,1.58
CHEM-000011,CHEM-000092,2.01,0
CHEM-000011,CHEM-000085,17.01,0.59
CHEM-000012,CHEM-000093,123.89,2.85
CHEM-000012,CHEM-000094,32,0
CHEM-000013,CHEM-000095,32.04,0.34
CHEM-000014,CHEM-000096,128.17,0.75
CHEM-000014,CHEM-000090,63.01,0.25
CHEM-000014,CHEM-000097,147.01,1.02
CHEM-000014,CHEM-000098,105.98,0
CHEM-000015,CHEM-000099,78.11,0.62
CHEM-000015,CHEM-000083,70.9,0.01
CHEM-000016,CHEM-000100,157.55,0.67
CHEM-000016,CHEM-000085,17.03,0.08
CHEM-000016,CHEM-000101,18.01,0
CHEM-000016,CHEM-000102,74.09,0
CHEM-000016,CHEM-000103,58.44,0
CHEM-000017,CHEM-000104,93.13,1.13
CHEM-000017,CHEM-000014,143.19,1.16
CHEM-000018,CHEM-000019,116.16,0.75
CHEM-000018,CHEM-000092,2.106,0
CHEM-000019,CHEM-000064,58.08,0.75
CHEM-000019,CHEM-000105,171.34,0
CHEM-000020,CHEM-000106,84.08,3.01
CHEM-000020,CHEM-000107,79.9,0.91
CHEM-000021,CHEM-000108,86.09,1
CHEM-000021,CHEM-000109,88.11,0.73
CHEM-000022,CHEM-000064,58.08,0.74
CHEM-000023,CHEM-000056,60.05,0.41
CHEM-000023,CHEM-000109,88.11,0.73555
CHEM-000023,CHEM-000110,22.99,0
CHEM-000024,CHEM-000064,58.08,0.745
CHEM-000024,CHEM-000109,88.11,0.736
CHEM-000024,CHEM-000111,54.03,0
CHEM-000025,CHEM-000112,79.866,2.81
CHEM-000025,CHEM-000083,70.9,0.05
CHEM-000026,CHEM-000057,92.14,0.8
CHEM-000026,CHEM-000083,35.453,0.02
CHEM-000027,CHEM-000113,0,0.635
CHEM-000028,CHEM-000114,86.09,0.73
CHEM-000028,CHEM-000056,60.05,0.405
CHEM-000028,CHEM-000048,30.03,0
CHEM-000028,CHEM-000115,242.23,0
CHEM-000029,CHEM-000053,44.05,0.955
CHEM-000030,CHEM-000116,44.05,2.984
CHEM-000031,CHEM-000117,168.32,0.0017
CHEM-000031,CHEM-000118,98.06,1.05
CHEM-000032,CHEM-000089,63.54,8.828
CHEM-000032,CHEM-000119,98.06,0.00004
CHEM-000033,CHEM-000082,0,1.182
CHEM-000033,CHEM-000114,0,1.57
CHEM-000034,CHEM-000082,156.06,0.608
CHEM-000035,CHEM-000104,93.13,1.14
CHEM-000035,CHEM-000095,32.04,0
CHEM-000036,CHEM-000036,42.081,0.824
CHEM-000037,CHEM-000120,42.081,0.829
CHEM-000038,CHEM-000036,74.12,0.855
CHEM-000038,CHEM-000053,44.05,1.395
CHEM-000039,CHEM-000121,106.16,0.85
CHEM-000040,CHEM-000122,202.25,0.0036
CHEM-000040,CHEM-000095,32.02,0.3475
CHEM-000041,CHEM-000123,110.11,0.00475
CHEM-000042,CHEM-000036,74.12,0.865
CHEM-000042,CHEM-000056,60.05,0.405
CHEM-000043,CHEM-000124,62.07,0
CHEM-000044,CHEM-000059,94.11,0.9
CHEM-000045,CHEM-000053,44.05,1.395
CHEM-000045,CHEM-000095,32.04,0.348
CHEM-000046,CHEM-000125,130.23,1.01
CHEM-000047,CHEM-000036,74.12,0.85
CHEM-000048,CHEM-000095,32.04,0.3475
CHEM-000049,CHEM-000126,130.23,1.435
CHEM-000050,CHEM-000127,73.14,0.675
CHEM-000050,CHEM-000128,101.19,1
CHEM-000051,CHEM-000064,58.1,0.745
CHEM-000052,CHEM-000129,0,0.94
CHEM-000053,CHEM-000082,28.05,"1,265.00"
CHEM-000054,CHEM-000130,0,0
CHEM-000055,CHEM-000063,58.07,0.97
CHEM-000055,CHEM-000095,32.04,0.35
CHEM-000056,CHEM-000095,32.04,28.01
CHEM-000056,CHEM-000131,28.01,0
CHEM-000057,CHEM-000132,106.16,1.04
CHEM-000058,CHEM-000133,61.04,2.58
CHEM-000058,CHEM-000134,159.8,3.09
CHEM-000058,CHEM-000095,32.04,0.33
CHEM-000059,CHEM-000099,78.11,0.88
CHEM-000059,CHEM-000120,42.08,0.82
CHEM-000060,CHEM-000053,44.05,0.96
CHEM-000061,CHEM-000135,130.23,1.01
CHEM-000062,CHEM-000136,128.21,1.01
CHEM-000063,CHEM-000120,42.08,0.82
CHEM-000064,CHEM-000099,78.11,0.995
CHEM-000065,CHEM-000137,123.89,2.78
CHEM-000066,CHEM-000138,112.21,2.15
CHEM-000067,CHEM-000063,58.1,0.995
CHEM-000068,CHEM-000139,103.93,0
CHEM-000068,CHEM-000140,24,0
CHEM-000069,CHEM-000141,136.23,0
CHEM-000070,CHEM-000142,98.15,0
CHEM-000070,CHEM-000143,33.03,0
CHEM-000071,CHEM-000144,0,1.04
CHEM-000071,CHEM-000145,60.1,0
CHEM-000072,CHEM-000146,136.8,7.71
CHEM-000072,CHEM-000147,74.1,0
CHEM-000073,CHEM-000148,137.33,1.61
CHEM-000073,CHEM-000048,30.03,0.24
CHEM-000073,CHEM-000149,40,0
CHEM-000073,CHEM-000088,98.08,0
CHEM-000074,CHEM-000120,42.08,0.95
CHEM-000074,CHEM-000085,17.03,1.08
CHEM-000075,CHEM-000150,58.69,0
CHEM-000075,CHEM-000088,98.08,0
CHEM-000076,CHEM-000059,94.11,0.725
CHEM-000077,CHEM-000120,42.08,0.61
CHEM-000078,CHEM-000151,324.42,2.4
CHEM-000078,CHEM-000152,137.33,0.266
CHEM-000079,CHEM-000153,107.15,2.22
CHEM-000080,CHEM-000059,94.11,870
CHEM-000081,CHEM-000095,32.02,0.3475
